age,income,pre_test_score,attendance_score,program_offered,program_participation,post_test_score,tau,categ
45.0,8667.0,46.57,5.3,1,0,46.57,17.159999999999997,never-taker
46.3,9355.0,48.91,24.7,0,0,48.91,16.83,never-taker
39.8,8077.0,44.91,31.5,1,1,74.91,34.56,complier
49.8,1302.0,36.51,11.0,1,0,36.51,18.590000000000003,never-taker
38.5,4256.0,37.93,9.2,1,0,37.93,18.39,never-taker
33.4,1279.0,35.16,21.4,1,0,35.16,18.78,never-taker
49.2,3340.0,36.14,50.5,0,0,36.14,35.81,complier
42.0,11738.0,50.66,54.7,0,0,50.66,33.75,complier
43.4,5578.0,43.6,23.8,0,0,43.6,17.58,never-taker
39.8,2344.0,37.2,18.3,1,0,37.2,18.489999999999995,never-taker
36.0,919.0,31.94,35.4,1,1,61.94,36.400000000000006,complier
50.3,6242.0,42.11,51.3,0,0,42.11,34.959999999999994,complier
40.6,4212.0,41.05,43.8,0,0,41.05,35.11,complier
52.3,5763.0,41.14,4.8,0,0,41.14,17.93,never-taker
48.0,2675.0,34.92,39.2,1,1,64.92,35.980000000000004,complier
42.4,492.0,31.76,20.2,1,0,31.76,19.26,never-taker
38.6,6873.0,41.67,32.9,1,1,71.67,35.02,complier
40.3,6310.0,42.74,60.9,0,0,42.74,34.87,complier
37.9,3676.0,36.74,9.9,0,0,36.74,18.559999999999995,never-taker
54.4,1982.0,34.73,33.0,1,1,64.72999999999999,36.01,complier
44.8,2283.0,36.62,61.2,0,0,36.62,35.74,complier
49.8,4539.0,40.27,47.8,1,1,70.27000000000001,35.21999999999999,complier
37.7,10618.0,50.08,60.2,0,0,50.08,33.83,complier
44.9,5584.0,40.03,6.0,1,0,40.03,18.09,never-taker
49.9,1831.0,36.17,44.5,1,1,66.17,35.8,complier
42.3,853.0,34.23,46.4,0,0,34.23,36.080000000000005,complier
49.2,8475.0,46.07,41.0,1,1,76.07,34.4,complier
38.6,3495.0,39.59,16.0,0,0,39.59,18.15,never-taker
37.2,1588.0,34.18,20.6,0,0,34.18,18.92,never-taker
45.9,1851.0,33.87,46.5,1,1,63.87,36.13,complier
42.1,9952.0,48.48,38.0,1,1,78.47999999999999,34.06000000000001,complier
47.2,16397.0,58.85,51.1,1,1,88.85,32.59,complier
34.1,1453.0,32.53,46.2,1,1,62.53,36.31999999999999,complier
47.6,4019.0,38.66,13.7,1,0,38.66,18.28,never-taker
57.0,861.0,34.98,38.6,0,0,34.98,18.800000000000004,never-taker
43.9,3815.0,39.19,9.2,0,0,39.19,18.21,never-taker
44.2,4224.0,39.59,46.2,0,0,39.59,35.31999999999999,complier
44.9,767.0,34.96,16.0,0,0,34.96,18.81,never-taker
34.7,10875.0,48.48,10.2,0,0,48.48,16.890000000000008,never-taker
46.1,6616.0,43.66,25.6,1,0,43.66,17.57,never-taker
36.0,823.0,33.24,27.9,1,1,63.24,36.21999999999999,complier
41.9,9579.0,47.02,22.3,0,0,47.02,34.26,complier
50.2,1900.0,34.68,22.7,0,0,34.68,18.85,never-taker
40.3,4470.0,40.38,18.0,0,0,40.38,18.04,never-taker
46.5,4182.0,39.89,43.3,1,1,69.89,35.27,complier
49.1,2215.0,34.94,35.4,1,1,64.94,35.980000000000004,complier
45.4,3650.0,36.55,25.9,1,1,66.55,35.75,complier
37.1,5857.0,40.27,6.2,1,0,40.27,18.059999999999995,never-taker
42.3,14016.0,56.41,57.0,0,0,56.41,32.93000000000001,complier
53.8,1038.0,34.24,25.4,1,0,34.24,18.91,never-taker
33.9,2601.0,34.58,13.6,1,0,34.58,18.86,never-taker
42.6,15880.0,58.11,4.5,0,0,58.11,15.53,never-taker
41.2,2561.0,37.81,32.5,0,0,37.81,18.4,never-taker
44.6,5159.0,39.17,13.1,1,0,39.17,18.21,never-taker
47.7,4809.0,40.13,35.2,0,0,40.13,35.24,complier
52.0,2804.0,36.39,35.1,0,0,36.39,35.77,complier
42.6,6879.0,42.01,55.7,0,0,42.01,34.970000000000006,complier
48.1,427.0,33.74,23.6,0,0,33.74,18.98,never-taker
46.5,15631.0,56.5,3.0,1,0,56.5,15.75,never-taker
46.4,4025.0,39.17,16.0,1,0,39.17,18.21,never-taker
41.2,650.0,32.78,9.7,1,0,32.78,19.12,never-taker
39.0,6235.0,42.85,5.2,0,0,42.85,17.689999999999998,never-taker
38.5,4135.0,40.85,26.8,0,0,40.85,17.97,never-taker
40.2,360.0,31.36,16.0,0,0,31.36,19.32,never-taker
45.6,5314.0,41.2,9.2,1,0,41.2,17.919999999999995,never-taker
47.8,2661.0,38.31,32.6,0,0,38.31,18.33,never-taker
45.6,470.0,34.99,36.3,0,0,34.99,18.8,never-taker
41.3,970.0,35.53,13.7,0,0,35.53,18.73,never-taker
53.0,2671.0,36.99,23.9,0,0,36.99,18.52,never-taker
51.6,17022.0,59.57,27.5,0,0,59.57,32.48,complier
42.2,15586.0,60.12,25.0,0,0,60.12,15.240000000000002,never-taker
39.9,4863.0,39.89,34.9,1,1,69.89,35.27,complier
44.7,10375.0,47.84,25.5,0,0,47.84,34.14999999999999,complier
50.3,17803.0,61.65,18.5,0,0,61.65,15.020000000000003,never-taker
45.7,604.0,31.89,34.8,1,1,61.89,36.41,complier
46.8,4577.0,40.76,35.3,1,1,70.75999999999999,35.15,complier
42.9,10825.0,50.07,43.0,0,0,50.07,33.830000000000005,complier
46.3,10107.0,47.53,11.6,0,0,47.53,17.03,never-taker
51.7,4616.0,39.62,45.3,0,0,39.62,35.31000000000001,complier
42.8,2689.0,34.96,27.1,1,1,64.96000000000001,35.970000000000006,complier
44.7,2171.0,36.94,19.1,0,0,36.94,18.53,never-taker
45.3,7475.0,45.88,5.1,1,0,45.88,17.259999999999998,never-taker
45.4,8743.0,48.45,32.6,0,0,48.45,16.89999999999999,never-taker
36.9,886.0,33.16,29.1,1,1,63.16,36.23,complier
34.6,1736.0,34.84,5.1,0,0,34.84,18.819999999999997,never-taker
38.9,2074.0,34.65,23.1,0,0,34.65,36.02,complier
44.8,5767.0,42.8,16.4,0,0,42.8,17.700000000000003,never-taker
46.8,1970.0,37.4,9.7,0,0,37.4,18.46,never-taker
41.3,3810.0,39.88,26.3,1,0,39.88,18.11,never-taker
50.9,9959.0,48.47,36.0,0,0,48.47,34.06,complier
43.3,1492.0,33.63,21.0,0,0,33.63,19.0,never-taker
44.1,3781.0,37.52,48.5,1,1,67.52000000000001,35.60999999999999,complier
43.0,1649.0,34.34,33.1,1,1,64.34,36.06,complier
44.7,5427.0,41.73,7.1,1,0,41.73,17.85,never-taker
47.5,7543.0,46.84,32.9,0,0,46.84,17.119999999999997,never-taker
47.3,1868.0,35.15,2.8,0,0,35.15,18.78,never-taker
39.5,1245.0,35.36,26.2,1,0,35.36,18.75,never-taker
51.6,6099.0,43.64,36.5,1,0,43.64,17.58,never-taker
38.5,8691.0,45.06,0.8,0,0,45.06,17.379999999999995,never-taker
44.4,2170.0,33.74,27.9,0,0,33.74,36.15,complier
42.6,4677.0,39.66,58.5,0,0,39.66,35.31,complier
38.8,2144.0,34.62,15.3,1,0,34.62,18.86,never-taker
43.6,1526.0,33.31,15.2,0,0,33.31,19.04,never-taker
40.3,2138.0,36.27,17.7,1,0,36.27,18.62,never-taker
44.4,1008.0,33.64,21.0,1,0,33.64,18.99,never-taker
46.0,1404.0,35.41,21.8,0,0,35.41,18.74,never-taker
51.4,3853.0,38.23,25.5,1,0,38.23,18.340000000000003,never-taker
45.5,6320.0,42.44,46.1,1,1,72.44,34.91,complier
40.9,646.0,31.82,23.4,1,1,61.82,36.42,complier
42.0,2287.0,33.94,32.4,1,1,63.94,36.120000000000005,complier
44.7,693.0,35.09,31.1,1,0,35.09,18.79,never-taker
44.5,7005.0,44.44,45.9,0,0,44.44,34.629999999999995,complier
51.3,11084.0,49.47,20.0,0,0,49.47,16.75,never-taker
51.0,7647.0,44.02,13.6,0,0,44.02,17.519999999999996,never-taker
42.2,5374.0,43.17,26.7,0,0,43.17,17.64,never-taker
41.3,993.0,33.1,55.3,1,1,63.1,36.24,complier
31.2,5633.0,39.55,18.0,1,1,69.55,35.32000000000001,complier
41.3,12383.0,54.73,44.3,0,0,54.73,33.17000000000001,complier
39.1,4071.0,37.91,51.3,0,0,37.91,35.55,complier
42.2,458.0,34.29,42.8,1,1,64.28999999999999,36.07,complier
46.0,716.0,32.83,26.8,1,0,32.83,19.11,never-taker
44.9,1256.0,34.39,15.9,1,0,34.39,18.89,never-taker
43.9,662.0,34.8,26.8,1,0,34.8,18.830000000000005,never-taker
45.0,918.0,31.83,18.5,1,0,31.83,19.25,never-taker
43.4,874.0,35.38,37.6,0,0,35.38,18.75,never-taker
45.0,4604.0,38.59,35.2,0,0,38.59,35.459999999999994,complier
27.8,2586.0,37.19,3.7,1,0,37.19,18.49,never-taker
42.7,3824.0,38.08,39.1,0,0,38.08,35.53,complier
43.4,18988.0,65.85,15.5,0,0,65.85,14.430000000000009,never-taker
42.3,2240.0,37.16,19.8,1,0,37.16,18.5,never-taker
42.9,2717.0,36.92,31.9,1,1,66.92,35.7,complier
47.5,4188.0,38.08,62.7,0,0,38.08,35.53,complier
41.0,3681.0,39.94,11.1,1,0,39.94,18.1,never-taker
55.0,4953.0,41.09,26.8,1,0,41.09,17.939999999999998,never-taker
47.4,7238.0,46.34,36.0,1,0,46.34,17.189999999999998,never-taker
44.0,16184.0,58.61,21.9,0,0,58.61,15.459999999999994,never-taker
43.0,304.0,33.24,33.4,0,0,33.24,36.21999999999999,complier
43.6,5374.0,41.63,14.4,1,0,41.63,17.86,never-taker
39.4,5824.0,40.54,15.5,1,0,40.54,18.020000000000003,never-taker
43.5,24389.0,74.91,24.9,1,0,74.91,13.150000000000006,never-taker
45.4,5472.0,40.23,51.5,1,1,70.22999999999999,35.23,complier
46.9,663.0,33.54,15.4,0,0,33.54,19.01,never-taker
46.9,3015.0,36.07,30.1,0,0,36.07,35.82,complier
42.6,6266.0,44.54,13.8,0,0,44.54,17.450000000000003,never-taker
36.9,606.0,31.22,27.1,1,1,61.22,36.5,complier
40.7,629.0,33.87,32.5,0,0,33.87,36.13,complier
52.1,12795.0,54.21,32.5,0,0,54.21,16.080000000000005,never-taker
48.5,798.0,33.82,25.8,0,0,33.82,18.97,never-taker
45.8,873.0,34.16,30.7,1,0,34.16,18.92,never-taker
40.2,3759.0,40.12,33.1,1,0,40.12,18.080000000000005,never-taker
44.0,2009.0,33.9,11.2,0,0,33.9,18.96,never-taker
37.7,20760.0,67.9,39.3,0,0,67.9,31.3,complier
41.2,2048.0,34.89,27.3,1,1,64.89,35.980000000000004,complier
42.8,1443.0,33.26,28.3,0,0,33.26,36.21,complier
42.2,3327.0,36.45,41.8,1,1,66.45,35.75999999999999,complier
48.8,4938.0,42.2,38.0,1,0,42.2,17.779999999999994,never-taker
36.9,12497.0,52.77,43.0,1,1,82.77000000000001,33.45,complier
39.7,372.0,32.8,35.8,0,0,32.8,36.28,complier
37.1,438.0,30.57,3.2,1,0,30.57,19.43,never-taker
37.8,355.0,31.93,54.6,1,1,61.93,36.4,complier
44.6,1470.0,34.61,61.7,0,0,34.61,36.02,complier
36.0,2197.0,33.92,5.8,0,0,33.92,18.96,never-taker
47.8,6175.0,44.44,20.6,0,0,44.44,17.46,never-taker
42.8,3112.0,38.95,27.9,0,0,38.95,18.239999999999995,never-taker
44.3,2863.0,37.44,47.4,0,0,37.44,35.620000000000005,complier
45.6,5155.0,42.25,47.2,1,1,72.25,34.94,complier
41.8,13019.0,54.87,10.4,1,0,54.87,15.990000000000002,never-taker
49.2,6676.0,41.56,21.7,0,0,41.56,35.03999999999999,complier
43.0,941.0,33.2,21.6,0,0,33.2,19.059999999999995,never-taker
47.0,478.0,34.09,18.2,0,0,34.09,18.93,never-taker
43.0,663.0,31.84,9.0,0,0,31.84,19.250000000000004,never-taker
45.5,1933.0,36.69,5.6,0,0,36.69,18.56,never-taker
45.4,3125.0,38.97,50.6,1,1,68.97,35.400000000000006,complier
45.2,6880.0,43.01,63.7,1,1,73.00999999999999,34.830000000000005,complier
39.1,510.0,34.71,38.2,0,0,34.71,36.01,complier
46.2,5431.0,40.67,12.2,0,0,40.67,18.0,never-taker
42.4,2918.0,35.98,42.8,0,0,35.98,35.830000000000005,complier
47.2,1914.0,35.27,35.7,1,1,65.27000000000001,35.93,complier
33.2,8078.0,43.21,20.5,1,1,73.21000000000001,34.800000000000004,complier
36.7,2578.0,35.38,42.6,0,0,35.38,35.910000000000004,complier
45.8,679.0,33.24,24.7,1,0,33.24,19.05,never-taker
53.3,10414.0,50.86,20.1,0,0,50.86,16.549999999999997,never-taker
48.2,7335.0,44.0,44.3,1,1,74.0,34.69,complier
40.6,8614.0,47.75,28.0,1,0,47.75,16.989999999999995,never-taker
35.5,2459.0,34.76,35.1,1,1,64.75999999999999,36.00000000000001,complier
47.7,2099.0,33.79,45.0,1,1,63.79,36.14000000000001,complier
43.6,1569.0,34.2,40.0,0,0,34.2,36.08,complier
47.0,1594.0,34.41,16.7,0,0,34.41,18.89,never-taker
44.6,3854.0,38.22,28.2,1,1,68.22,35.510000000000005,complier
44.1,4782.0,42.15,18.9,1,0,42.15,17.79,never-taker
58.8,2267.0,37.64,65.8,0,0,37.64,35.59,complier
44.0,10558.0,48.77,64.0,0,0,48.77,34.02,complier
43.2,1181.0,34.34,57.3,1,1,64.34,36.06,complier
43.4,711.0,34.2,7.8,1,0,34.2,18.919999999999995,never-taker
41.1,5727.0,39.87,21.4,1,1,69.87,35.28000000000001,complier
49.0,1387.0,36.16,48.7,0,0,36.16,35.8,complier
42.2,1820.0,36.81,32.6,1,0,36.81,18.55,never-taker
47.2,2283.0,37.49,29.3,1,0,37.49,18.45,never-taker
45.4,2585.0,35.96,16.9,0,0,35.96,18.67,never-taker
50.1,7430.0,43.04,51.0,1,1,73.03999999999999,34.830000000000005,complier
46.1,2308.0,34.44,13.1,0,0,34.44,18.880000000000003,never-taker
37.9,625.0,33.59,6.3,0,0,33.59,19.0,never-taker
37.4,3462.0,37.31,5.8,0,0,37.31,18.47,never-taker
51.0,6467.0,44.06,31.5,1,0,44.06,17.519999999999996,never-taker
41.0,693.0,31.4,30.1,1,1,61.4,36.48,complier
37.4,1334.0,34.99,39.4,1,1,64.99000000000001,35.96999999999999,complier
40.7,15004.0,59.0,12.2,1,0,59.0,15.400000000000006,never-taker
50.3,14478.0,58.51,14.1,0,0,58.51,15.470000000000006,never-taker
36.9,6356.0,42.14,15.9,0,0,42.14,17.79,never-taker
39.7,7866.0,45.3,55.1,1,1,75.3,34.510000000000005,complier
40.7,939.0,31.75,10.8,0,0,31.75,19.26,never-taker
37.7,530.0,31.46,12.5,1,0,31.46,19.3,never-taker
38.1,1083.0,31.96,11.2,0,0,31.96,19.23,never-taker
36.4,3020.0,38.06,25.9,1,0,38.06,18.37,never-taker
41.7,2721.0,36.04,51.6,1,1,66.03999999999999,35.82,complier
42.2,5095.0,40.05,7.0,1,0,40.05,18.090000000000003,never-taker
40.6,13433.0,54.06,25.4,1,1,84.06,33.27,complier
35.7,498.0,32.61,3.0,0,0,32.61,19.14,never-taker
50.3,1562.0,36.0,21.7,0,0,36.0,18.66,never-taker
37.4,10624.0,51.13,24.9,0,0,51.13,16.520000000000003,never-taker
45.4,509.0,33.4,36.2,0,0,33.4,36.190000000000005,complier
38.6,1849.0,36.56,10.2,1,0,36.56,18.58,never-taker
47.3,5512.0,39.48,26.6,1,1,69.47999999999999,35.330000000000005,complier
48.8,6393.0,41.03,28.3,0,0,41.03,35.11,complier
39.6,2075.0,36.16,42.7,0,0,36.16,35.8,complier
34.4,879.0,31.72,8.7,1,0,31.72,19.270000000000003,never-taker
47.5,1672.0,35.23,61.9,0,0,35.23,35.93,complier
53.4,17932.0,63.3,56.0,1,1,93.3,31.960000000000008,complier
46.1,468.0,32.78,1.9,0,0,32.78,19.12,never-taker
44.8,19489.0,63.37,29.7,0,0,63.37,31.95,complier
48.1,9244.0,48.49,14.1,1,0,48.49,16.889999999999993,never-taker
47.8,492.0,33.74,22.8,0,0,33.74,18.98,never-taker
39.9,7993.0,45.11,33.8,1,1,75.11,34.53,complier
40.7,1422.0,34.38,4.5,0,0,34.38,18.89,never-taker
47.1,1862.0,35.15,25.1,0,0,35.15,18.78,never-taker
43.3,8196.0,47.1,29.7,0,0,47.1,17.089999999999996,never-taker
50.6,4399.0,39.39,28.5,1,0,39.39,18.18,never-taker
40.5,6240.0,41.32,3.8,1,0,41.32,17.909999999999997,never-taker
47.8,941.0,35.31,11.7,0,0,35.31,18.76,never-taker
45.7,4409.0,38.12,57.4,0,0,38.12,35.53000000000001,complier
43.4,17430.0,61.17,26.5,1,1,91.17,32.260000000000005,complier
49.9,7331.0,46.69,22.4,0,0,46.69,17.150000000000006,never-taker
47.4,6210.0,40.79,30.5,0,0,40.79,35.15,complier
39.0,4386.0,39.93,40.6,0,0,39.93,35.27,complier
47.2,6414.0,41.81,60.0,1,1,71.81,35.0,complier
50.9,3053.0,39.52,60.6,0,0,39.52,35.32999999999999,complier
43.3,4298.0,38.05,60.2,1,1,68.05,35.540000000000006,complier
42.8,678.0,33.33,15.6,1,0,33.33,19.04,never-taker
40.7,2084.0,34.9,33.2,1,1,64.9,35.98,complier
43.9,14952.0,57.89,59.3,1,1,87.89,32.72,complier
47.4,1395.0,35.91,34.0,1,0,35.91,18.67,never-taker
39.9,4841.0,38.41,15.3,0,0,38.41,18.32,never-taker
37.3,855.0,33.27,52.2,0,0,33.27,36.21,complier
42.1,4038.0,40.29,15.1,0,0,40.29,18.050000000000004,never-taker
37.1,2882.0,35.43,44.6,0,0,35.43,35.910000000000004,complier
46.6,773.0,35.31,13.3,1,0,35.31,18.76,never-taker
41.9,691.0,34.3,14.1,1,0,34.3,18.90000000000001,never-taker
35.2,2017.0,37.31,12.1,0,0,37.31,18.47,never-taker
42.3,2753.0,37.1,18.9,0,0,37.1,18.5,never-taker
43.0,4601.0,39.45,8.0,0,0,39.45,18.169999999999995,never-taker
46.2,6184.0,40.99,9.4,0,0,40.99,17.949999999999996,never-taker
43.3,989.0,33.21,17.7,1,0,33.21,19.06,never-taker
53.3,1668.0,37.34,4.9,0,0,37.34,18.47,never-taker
41.4,6225.0,41.8,30.4,1,1,71.8,35.0,complier
43.7,1498.0,34.68,29.7,1,1,64.68,36.01,complier
43.5,3300.0,39.67,14.6,0,0,39.67,18.14,never-taker
42.6,4472.0,38.37,19.3,0,0,38.37,18.32,never-taker
44.7,2415.0,36.45,26.1,1,0,36.45,18.599999999999994,never-taker
46.7,1694.0,36.46,30.1,1,0,36.46,18.6,never-taker
50.7,16572.0,61.69,15.8,0,0,61.69,15.019999999999996,never-taker
36.2,4940.0,41.77,56.8,0,0,41.77,35.01,complier
41.4,430.0,31.05,12.5,1,0,31.05,19.36,never-taker
41.8,11839.0,50.72,7.5,1,0,50.72,16.570000000000007,never-taker
48.7,2877.0,36.2,55.0,0,0,36.2,35.8,complier
42.2,1208.0,35.67,47.0,1,1,65.67,35.870000000000005,complier
34.5,975.0,35.31,34.7,1,1,65.31,35.92,complier
44.4,19599.0,65.53,17.7,1,0,65.53,14.47,never-taker
43.8,3903.0,36.99,57.8,0,0,36.99,35.690000000000005,complier
44.9,1134.0,33.98,70.1,1,1,63.98,36.11000000000001,complier
38.8,2186.0,35.12,24.6,0,0,35.12,35.95,complier
52.6,9187.0,49.19,29.2,0,0,49.19,16.790000000000006,never-taker
42.4,6319.0,41.35,8.4,0,0,41.35,17.9,never-taker
43.1,1236.0,34.58,2.5,1,0,34.58,18.86,never-taker
39.5,1553.0,35.06,23.0,0,0,35.06,18.79,never-taker
39.3,1780.0,32.95,27.5,0,0,32.95,36.25999999999999,complier
37.9,3916.0,36.82,26.8,1,1,66.82,35.71,complier
42.0,465.0,31.55,39.8,1,1,61.55,36.46000000000001,complier
39.2,8054.0,44.68,34.3,0,0,44.68,34.6,complier
54.3,6919.0,46.18,21.4,0,0,46.18,17.22,never-taker
34.6,4923.0,41.27,20.6,0,0,41.27,17.909999999999997,never-taker
38.4,3815.0,39.26,23.5,1,0,39.26,18.200000000000003,never-taker
42.0,326.0,33.5,22.3,0,0,33.5,19.01,never-taker
47.4,5571.0,41.99,31.5,0,0,41.99,17.809999999999995,never-taker
41.9,4638.0,38.89,36.5,1,1,68.89,35.42,complier
47.4,6671.0,44.61,26.4,0,0,44.61,17.439999999999998,never-taker
39.1,14130.0,56.68,35.3,1,1,86.68,32.88999999999999,complier
44.3,391.0,33.24,6.3,0,0,33.24,19.05,never-taker
52.7,3522.0,38.33,33.4,0,0,38.33,35.5,complier
39.2,3204.0,38.0,25.9,1,0,38.0,18.380000000000003,never-taker
46.1,418.0,31.8,9.0,0,0,31.8,19.26,never-taker
45.0,2077.0,36.29,21.5,1,0,36.29,18.62,never-taker
32.7,2903.0,36.28,25.9,0,0,36.28,35.78999999999999,complier
41.1,324.0,32.38,24.3,0,0,32.38,19.169999999999995,never-taker
49.7,1791.0,34.94,53.2,1,1,64.94,35.980000000000004,complier
44.7,632.0,31.83,46.8,0,0,31.83,36.42,complier
37.9,9322.0,46.86,12.5,1,0,46.86,17.119999999999997,never-taker
47.5,4097.0,38.14,24.0,1,0,38.14,18.36,never-taker
41.6,6111.0,43.63,12.9,1,0,43.63,17.58,never-taker
45.8,6148.0,43.66,13.4,1,0,43.66,17.57,never-taker
45.9,4763.0,40.16,18.2,0,0,40.16,18.07,never-taker
38.4,4491.0,40.23,54.7,1,1,70.22999999999999,35.23,complier
47.9,17828.0,62.66,26.7,1,0,62.66,14.88000000000001,never-taker
39.0,935.0,34.99,20.9,0,0,34.99,18.8,never-taker
37.5,11033.0,48.86,36.2,0,0,48.86,34.0,complier
39.6,1123.0,34.06,6.4,0,0,34.06,18.94,never-taker
42.3,1495.0,34.09,7.6,1,0,34.09,18.93,never-taker
44.5,1251.0,33.91,38.1,1,1,63.91,36.120000000000005,complier
40.1,2016.0,33.7,50.5,0,0,33.7,36.14999999999999,complier
47.7,902.0,35.39,80.4,0,0,35.39,35.91,complier
45.3,1024.0,32.68,54.9,0,0,32.68,36.3,complier
40.5,13726.0,56.75,17.6,1,0,56.75,15.72,never-taker
48.4,2422.0,35.38,35.0,1,1,65.38,35.910000000000004,complier
49.8,8292.0,46.18,20.8,1,0,46.18,17.22,never-taker
43.5,1189.0,35.62,6.8,0,0,35.62,18.71,never-taker
42.9,4912.0,40.93,31.4,0,0,40.93,17.96,never-taker
35.1,2082.0,34.3,27.1,1,1,64.3,36.07000000000001,complier
42.0,375.0,31.84,58.5,0,0,31.84,36.42,complier
42.5,2826.0,35.19,11.2,1,0,35.19,18.78,never-taker
45.2,3861.0,38.01,71.1,1,1,68.00999999999999,35.54,complier
43.2,6599.0,41.52,20.6,0,0,41.52,35.04,complier
45.2,4729.0,39.67,16.5,1,0,39.67,18.14,never-taker
51.7,1938.0,35.97,17.9,0,0,35.97,18.660000000000004,never-taker
41.4,1429.0,32.65,43.0,0,0,32.65,36.3,complier
